R_um,D_um,s_um,C_GND_GND_F,C_feedline_feedline_F,C_island_island_F,C_GND_feedline_F,C_GND_island_F,C_feedline_island_F,row_sum_GND_F,row_sum_feedline_F,row_sum_island_F,missing_cap_GND_F,missing_cap_feedline_F,missing_cap_island_F
20.0,100.0,8.0,7.094e-13,1.94e-13,9.231e-15,-1.907e-13,-8.919e-15,-1.528e-16,5.098e-13,3.133e-15,1.583e-16,-5.098e-13,-3.133e-15,-1.583e-16
20.0,100.0,16.0,7.097e-13,1.948e-13,8.923e-15,-1.915e-13,-8.544e-15,-1.853e-16,5.097e-13,3.115e-15,1.94e-16,-5.097e-13,-3.115e-15,-1.94e-16
20.0,100.0,24.0,7.098e-13,1.95e-13,8.788e-15,-1.917e-13,-8.351e-15,-2.204e-16,5.097e-13,3.112e-15,2.163e-16,-5.097e-13,-3.112e-15,-2.163e-16
20.0,100.0,32.0,7.101e-13,1.952e-13,9.141e-15,-1.918e-13,-8.632e-15,-2.582e-16,5.097e-13,3.114e-15,2.51e-16,-5.097e-13,-3.114e-15,-2.51e-16
20.0,100.0,40.0,7.101e-13,1.955e-13,9.046e-15,-1.92e-13,-8.478e-15,-2.926e-16,5.096e-13,3.125e-15,2.751e-16,-5.096e-13,-3.125e-15,-2.751e-16
20.0,100.0,48.0,7.104e-13,1.958e-13,9.217e-15,-1.923e-13,-8.562e-15,-3.516e-16,5.096e-13,3.136e-15,3.032e-16,-5.096e-13,-3.136e-15,-3.032e-16
20.0,100.0,56.0,7.099e-13,1.956e-13,9.119e-15,-1.92e-13,-8.358e-15,-4.226e-16,5.095e-13,3.157e-15,3.392e-16,-5.095e-13,-3.157e-15,-3.392e-16
20.0,100.0,64.0,7.1e-13,1.959e-13,9.162e-15,-1.922e-13,-8.305e-15,-4.947e-16,5.094e-13,3.178e-15,3.626e-16,-5.094e-13,-3.178e-15,-3.626e-16
20.0,200.0,8.0,7.097e-13,1.94e-13,9.265e-15,-1.909e-13,-9.073e-15,-3.823e-17,5.098e-13,3.128e-15,1.539e-16,-5.098e-13,-3.128e-15,-1.539e-16
20.0,200.0,16.0,7.091e-13,1.939e-13,8.841e-15,-1.907e-13,-8.593e-15,-4.978e-17,5.097e-13,3.13e-15,1.976e-16,-5.097e-13,-3.13e-15,-1.976e-16
20.0,200.0,24.0,7.09e-13,1.941e-13,8.703e-15,-1.909e-13,-8.424e-15,-5.653e-17,5.097e-13,3.124e-15,2.225e-16,-5.097e-13,-3.124e-15,-2.225e-16
20.0,200.0,32.0,7.097e-13,1.94e-13,9.356e-15,-1.909e-13,-9.121e-15,-4.894e-17,5.097e-13,3.122e-15,1.856e-16,-5.097e-13,-3.122e-15,-1.856e-16
20.0,200.0,40.0,7.094e-13,1.943e-13,9.001e-15,-1.911e-13,-8.656e-15,-7.05e-17,5.096e-13,3.121e-15,2.745e-16,-5.096e-13,-3.121e-15,-2.745e-16
20.0,200.0,48.0,7.097e-13,1.945e-13,9.169e-15,-1.913e-13,-8.785e-15,-7.95e-17,5.096e-13,3.119e-15,3.043e-16,-5.096e-13,-3.119e-15,-3.043e-16
20.0,200.0,56.0,7.092e-13,1.943e-13,9.05e-15,-1.911e-13,-8.606e-15,-9.254e-17,5.095e-13,3.126e-15,3.52e-16,-5.095e-13,-3.126e-15,-3.52e-16
20.0,200.0,64.0,7.094e-13,1.945e-13,9.105e-15,-1.913e-13,-8.632e-15,-9.936e-17,5.095e-13,3.126e-15,3.737e-16,-5.095e-13,-3.126e-15,-3.737e-16
20.0,200.0,72.0,7.093e-13,1.944e-13,9.264e-15,-1.912e-13,-8.745e-15,-1.117e-16,5.094e-13,3.139e-15,4.074e-16,-5.094e-13,-3.139e-15,-4.074e-16
20.0,200.0,80.0,7.09e-13,1.944e-13,9.028e-15,-1.911e-13,-8.491e-15,-1.176e-16,5.094e-13,3.147e-15,4.192e-16,-5.094e-13,-3.147e-15,-4.192e-16
20.0,300.0,8.0,7.093e-13,1.939e-13,9.017e-15,-1.908e-13,-8.826e-15,-1.92e-17,5.097e-13,3.132e-15,1.72e-16,-5.097e-13,-3.132e-15,-1.72e-16
20.0,300.0,16.0,7.09e-13,1.939e-13,8.786e-15,-1.907e-13,-8.562e-15,-2.26e-17,5.097e-13,3.133e-15,2.014e-16,-5.097e-13,-3.133e-15,-2.014e-16
20.0,300.0,24.0,7.089e-13,1.94e-13,8.656e-15,-1.909e-13,-8.404e-15,-2.55e-17,5.097e-13,3.126e-15,2.264e-16,-5.097e-13,-3.126e-15,-2.264e-16
