R_um,D_um,s_um,C_GND_GND_F,C_feedline_feedline_F,C_island_island_F,C_GND_feedline_F,C_GND_island_F,C_feedline_island_F,row_sum_GND_F,row_sum_feedline_F,row_sum_island_F,missing_cap_GND_F,missing_cap_feedline_F,missing_cap_island_F
20.0,100.0,8.0,3.33e-12,2.507e-12,2.711e-14,-2.503e-12,-2.685e-14,-9.419e-17,7.999e-13,3.579e-15,1.694e-16,-7.999e-13,-3.579e-15,-1.694e-16
20.0,100.0,16.0,3.338e-12,2.517e-12,2.544e-14,-2.513e-12,-2.513e-14,-9.54e-17,7.999e-13,3.688e-15,2.068e-16,-7.999e-13,-3.688e-15,-2.068e-16
20.0,100.0,24.0,3.38e-12,2.567e-12,1.69e-14,-2.564e-12,-1.649e-14,-1.161e-16,8.001e-13,3.6e-15,2.888e-16,-8.001e-13,-3.6e-15,-2.888e-16
20.0,100.0,32.0,3.337e-12,2.521e-12,2.017e-14,-2.517e-12,-1.956e-14,-2.382e-16,8.005e-13,3.642e-15,3.701e-16,-8.005e-13,-3.642e-15,-3.701e-16
20.0,100.0,40.0,3.396e-12,2.582e-12,1.743e-14,-2.578e-12,-1.674e-14,-1.763e-16,8.009e-13,3.687e-15,5.137e-16,-8.009e-13,-3.687e-15,-5.137e-16
20.0,100.0,48.0,3.32e-12,2.509e-12,1.548e-14,-2.506e-12,-1.478e-14,-2.477e-16,7.998e-13,3.623e-15,4.524e-16,-7.998e-13,-3.623e-15,-4.524e-16
20.0,100.0,56.0,3.286e-12,2.476e-12,1.406e-14,-2.472e-12,-1.337e-14,-2.299e-16,8.002e-13,3.581e-15,4.664e-16,-8.002e-13,-3.581e-15,-4.664e-16
20.0,100.0,64.0,3.444e-12,2.635e-12,1.425e-14,-2.631e-12,-1.343e-14,-2.926e-16,8.001e-13,3.748e-15,5.273e-16,-8.001e-13,-3.748e-15,-5.273e-16
20.0,200.0,8.0,3.422e-12,2.595e-12,3.015e-14,-2.592e-12,-2.996e-14,-2.694e-17,8.002e-13,3.569e-15,1.629e-16,-8.002e-13,-3.569e-15,-1.629e-16
20.0,200.0,16.0,3.319e-12,2.499e-12,2.531e-14,-2.495e-12,-2.507e-14,-2.799e-17,7.992e-13,3.701e-15,2.15e-16,-7.992e-13,-3.701e-15,-2.15e-16
20.0,200.0,24.0,3.404e-12,2.587e-12,2.083e-14,-2.583e-12,-2.05e-14,-4.353e-17,8.007e-13,3.638e-15,2.837e-16,-8.007e-13,-3.638e-15,-2.837e-16
20.0,200.0,32.0,3.489e-12,2.675e-12,1.809e-14,-2.672e-12,-1.766e-14,-5.299e-17,7.997e-13,3.612e-15,3.757e-16,-7.997e-13,-3.612e-15,-3.757e-16
20.0,200.0,40.0,3.494e-12,2.68e-12,1.887e-14,-2.676e-12,-1.818e-14,-8.885e-17,8.003e-13,3.635e-15,5.991e-16,-8.003e-13,-3.635e-15,-5.991e-16
20.0,200.0,48.0,3.477e-12,2.667e-12,1.452e-14,-2.663e-12,-1.405e-14,-6.752e-17,7.998e-13,3.577e-15,4.102e-16,-7.998e-13,-3.577e-15,-4.102e-16
20.0,200.0,56.0,3.457e-12,2.648e-12,1.371e-14,-2.644e-12,-1.317e-14,-5.479e-17,7.996e-13,3.723e-15,4.901e-16,-7.996e-13,-3.723e-15,-4.901e-16
20.0,200.0,64.0,3.443e-12,2.632e-12,1.449e-14,-2.629e-12,-1.388e-14,-6.851e-17,8.002e-13,3.59e-15,5.461e-16,-8.002e-13,-3.59e-15,-5.461e-16
20.0,200.0,72.0,3.309e-12,2.502e-12,1.257e-14,-2.498e-12,-1.197e-14,-8.042e-17,7.983e-13,3.603e-15,5.225e-16,-7.983e-13,-3.603e-15,-5.225e-16
20.0,200.0,80.0,3.355e-12,2.545e-12,1.534e-14,-2.541e-12,-1.454e-14,-8.976e-17,7.999e-13,3.706e-15,7.11e-16,-7.999e-13,-3.706e-15,-7.11e-16
20.0,300.0,8.0,3.408e-12,2.582e-12,2.984e-14,-2.578e-12,-2.967e-14,-8.795e-18,7.999e-13,3.638e-15,1.603e-16,-7.999e-13,-3.638e-15,-1.603e-16
20.0,300.0,16.0,3.312e-12,2.492e-12,2.25e-14,-2.489e-12,-2.227e-14,-1.284e-17,8.006e-13,3.669e-15,2.177e-16,-8.006e-13,-3.669e-15,-2.177e-16
20.0,300.0,24.0,3.37e-12,2.552e-12,2.192e-14,-2.549e-12,-2.16e-14,-1.892e-17,7.998e-13,3.578e-15,2.965e-16,-7.998e-13,-3.578e-15,-2.965e-16
20.0,300.0,32.0,3.471e-12,2.653e-12,2.155e-14,-2.649e-12,-2.117e-14,-2.16e-17,8.005e-13,3.582e-15,3.555e-16,-8.005e-13,-3.582e-15,-3.555e-16
20.0,300.0,40.0,3.502e-12,2.686e-12,2.044e-14,-2.682e-12,-1.989e-14,-2.976e-17,8e-13,3.683e-15,5.149e-16,-8e-13,-3.683e-15,-5.149e-16
20.0,300.0,48.0,3.443e-12,2.633e-12,1.56e-14,-2.629e-12,-1.512e-14,-2.621e-17,7.987e-13,3.625e-15,4.562e-16,-7.987e-13,-3.625e-15,-4.562e-16
20.0,300.0,56.0,3.567e-12,2.756e-12,1.474e-14,-2.753e-12,-1.421e-14,-3.236e-17,7.998e-13,3.719e-15,4.98e-16,-7.998e-13,-3.719e-15,-4.98e-16
20.0,300.0,64.0,3.44e-12,2.63e-12,1.493e-14,-2.627e-12,-1.438e-14,-3.047e-17,7.992e-13,3.679e-15,5.188e-16,-7.992e-13,-3.679e-15,-5.188e-16
20.0,300.0,72.0,3.495e-12,2.686e-12,1.347e-14,-2.682e-12,-1.29e-14,-3.215e-17,8.001e-13,3.783e-15,5.41e-16,-8.001e-13,-3.783e-15,-5.41e-16
20.0,300.0,80.0,3.375e-12,2.566e-12,1.355e-14,-2.563e-12,-1.291e-14,-3.939e-17,7.992e-13,3.665e-15,6.077e-16,-7.992e-13,-3.665e-15,-6.077e-16
20.0,400.0,8.0,3.515e-12,2.7e-12,1.879e-14,-2.697e-12,-1.869e-14,-3.144e-18,8e-13,3.538e-15,9.639e-17,-8e-13,-3.538e-15,-9.639e-17
20.0,400.0,16.0,3.364e-12,2.551e-12,1.682e-14,-2.547e-12,-1.668e-14,-4.349e-18,8.003e-13,3.694e-15,1.404e-16,-8.003e-13,-3.694e-15,-1.404e-16
20.0,400.0,24.0,3.27e-12,2.464e-12,1.013e-14,-2.46e-12,-9.945e-15,-6.419e-18,8.003e-13,3.599e-15,1.791e-16,-8.003e-13,-3.599e-15,-1.791e-16
20.0,400.0,32.0,3.528e-12,2.719e-12,1.358e-14,-2.715e-12,-1.333e-14,-7.874e-18,7.996e-13,3.692e-15,2.395e-16,-7.996e-13,-3.692e-15,-2.395e-16
20.0,400.0,40.0,3.402e-12,2.594e-12,1.192e-14,-2.59e-12,-1.154e-14,-1.177e-17,7.999e-13,3.738e-15,3.719e-16,-7.999e-13,-3.738e-15,-3.719e-16
20.0,400.0,48.0,3.393e-12,2.581e-12,1.579e-14,-2.578e-12,-1.537e-14,-1.422e-17,8e-13,3.688e-15,4.104e-16,-8e-13,-3.688e-15,-4.104e-16
20.0,400.0,56.0,3.23e-12,2.418e-12,1.576e-14,-2.414e-12,-1.522e-14,-1.825e-17,7.999e-13,3.586e-15,5.205e-16,-7.999e-13,-3.586e-15,-5.205e-16
20.0,400.0,64.0,3.47e-12,2.66e-12,1.399e-14,-2.657e-12,-1.345e-14,-1.839e-17,8.001e-13,3.55e-15,5.218e-16,-8.001e-13,-3.55e-15,-5.218e-16
20.0,400.0,72.0,3.407e-12,2.6e-12,1.163e-14,-2.596e-12,-1.115e-14,-1.433e-17,7.997e-13,3.623e-15,4.591e-16,-7.997e-13,-3.623e-15,-4.591e-16
20.0,400.0,80.0,3.405e-12,2.597e-12,1.274e-14,-2.594e-12,-1.217e-14,-1.926e-17,7.994e-13,3.643e-15,5.565e-16,-7.994e-13,-3.643e-15,-5.565e-16
20.0,500.0,8.0,3.479e-12,2.671e-12,1.261e-14,-2.667e-12,-1.252e-14,-1.794e-18,7.994e-13,3.845e-15,8.538e-17,-7.994e-13,-3.845e-15,-8.538e-17
